,En,VN,IOB,Intent
3380,show me all nonstop flights from salt lake city to cincinnati,chỉ cho tôi tất cả các chuyến bay thẳng từ thành phố hồ muối đến cincinnati,O O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
3381,what is the lowest fare united charges between boston and san francisco,giá vé thấp nhất thống nhất giữa boston và san francisco là bao nhiêu,O O O O B-cost_relative O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
3382,show me the flights from boston to san francisco that stop in atlanta,chỉ cho tôi các chuyến bay từ boston đến san francisco dừng ở atlanta,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name,atis_flight
3383,what does us mean,ý chúng tôi là gì,O O O B-airline_code O,atis_abbreviation
3384,what airlines fly boston to baltimore,những hãng hàng không nào bay boston đến Baltimore,O O O O B-fromloc.city_name O B-toloc.city_name,atis_airline
3385,i would like to see the flights from denver to philadelphia,tôi muốn xem các chuyến bay từ denver đến philadelphia,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3386,round trip fares from denver to philadelphia under 1000 dollars and pittsburgh to philadelphia under 1000 dollars,giá vé khứ hồi từ denver đến Philadelphia dưới 1000 đô la và từ pittsburgh đến philadelphia dưới 1000 đô la,O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount,atis_airfare
3387,show me all flights from pittsburgh to boston which leave before noon,cho tôi xem tất cả các chuyến bay từ pittsburgh đến boston khởi hành trước buổi trưa,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time,atis_flight
3388,how much does it cost to fly one way from boston to washington first class,mất bao nhiêu tiền để bay một chiều từ boston đến washton hạng nhất,O O O O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name B-class_type I-class_type,atis_airfare
3389,i would like to fly to san francisco from washington dc,tôi muốn bay đến san francisco từ washington dc,O O O O O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name B-fromloc.state_code,atis_flight
3390,show me wednesday afternoon flights from denver to san francisco,cho tôi xem các chuyến bay chiều thứ tư từ denver đến san francisco,O O O B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
3391,show me the type of aircraft that canadian airlines uses,chỉ cho tôi loại máy bay mà hãng hàng không canada sử dụng,O O O O O O O O B-airline_name I-airline_name O,atis_aircraft
3392,what is the seating capacity for the f28,sức chứa chỗ ngồi cho f28 là bao nhiêu,O O O O O O O O B-aircraft_code,atis_capacity
3393,i need to book a flight from newark to tampa on april fourth,tôi cần đặt một chuyến bay từ newark đến tampa vào ngày 4 tháng 4,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
3394,i'd like to arrange a trip to baltimore on january first,Tôi muốn sắp xếp một chuyến đi đến Baltimore vào tháng Giêng trước,O O O O O O O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
3395,show me flights from san francisco to seattle,chỉ cho tôi các chuyến bay từ san francisco đến Seattle,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
3396,list all united flights from boston to san francisco,liệt kê tất cả các chuyến bay thống nhất từ ​​boston đến san francisco,O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
3397,what american airlines flights from phoenix to milwaukee depart phoenix after 6 pm on wednesday,Các chuyến bay của hãng hàng không Mỹ nào từ Phoenix đến Milwaukee khởi hành từ Phoenix sau 6 giờ chiều thứ tư,O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name,atis_flight
3398,boston to denver monday,boston đến denver thứ hai,O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name,atis_flight
3399,tell me about flights from toronto to salt lake city,cho tôi biết về các chuyến bay từ Toronto đến thành phố hồ muối,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_flight
3400,show me the cheapest one way flight from atlanta to pittsburgh,chỉ cho tôi chuyến bay một chiều rẻ nhất từ ​​atlanta đến pittsburgh,O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3401,what are the fares for flights serving a meal from boston to pittsburgh before noon on thursday,giá vé cho các chuyến bay phục vụ một bữa ăn từ boston đến pittsburgh trước buổi trưa ngày thứ năm,O O O O O O O O O B-meal O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time O B-depart_date.day_name,atis_airfare
3402,list all the landings at general mitchell international,liệt kê tất cả các cuộc đổ bộ tại quốc tế mitchell chung,O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name,atis_flight
3403,please tell me the flights between boston and philadelphia next thursday,vui lòng cho tôi biết các chuyến bay giữa boston và philadelphia vào thứ năm tới,O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
3404,i would like to book an early morning flight from tampa florida to charlotte north carolina on april sixth,tôi muốn đặt một chuyến bay sáng sớm từ tampa florida đến charlotte bắc carolina vào ngày 6 tháng 4,O O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
3405,flights from cleveland to kansas city on monday,các chuyến bay từ cleveland đến thành phố kansas vào thứ hai,O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name,atis_flight
3406,how many seats in a 734,có bao nhiêu chỗ trong một chiếc 734,O O O O O O B-aircraft_code,atis_capacity
3407,flights from denver to chicago on sunday on continental,các chuyến bay từ Denver đến Chicago vào chủ nhật trên lục địa,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-airline_name,atis_flight
3408,give me flights from denver to baltimore,cho tôi các chuyến bay từ denver đến Baltimore,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3409,i would like an early morning nonstop flight from new york to las vegas on february twenty eighth,tôi muốn có một chuyến bay thẳng vào sáng sớm từ Newyork đến las vegas vào ngày hai mươi tám tháng hai,O O O O O B-depart_time.period_of_day B-depart_time.period_of_day B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number,atis_flight
3410,how far is the airport from san francisco,sân bay cách san francisco bao xa,O O O O O O O B-fromloc.city_name I-fromloc.city_name,atis_distance
3411,what are the flights from tacoma to san jose also on tuesday the eighteenth of may,các chuyến bay từ tacoma đến san jose cũng vào thứ ba ngày mười tám tháng năm là gì,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name O B-depart_date.day_number O B-depart_date.month_name,atis_flight
3412,show me flights from baltimore to boston,chỉ cho tôi các chuyến bay từ baltimore đến boston,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3413,could you show me all flights from montreal to charlotte,bạn có thể chỉ cho tôi tất cả các chuyến bay từ montreal đến charlotte được không,O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3414,show me flights from denver to atlanta on june sixteenth,chỉ cho tôi các chuyến bay từ Denver đến Atlanta vào ngày 16 tháng 6,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
3415,i'd like to fly from denver to pittsburgh with a stop in atlanta,tôi muốn bay từ denver đến pittsburgh với một điểm dừng ở atlanta,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name,atis_flight
3416,list number of people that can be carried on each type of plane that flies between pittsburgh and baltimore,liệt kê số người có thể được chở trên mỗi loại máy bay bay giữa pittsburgh và baltimore,O O O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_capacity
3417,what does mco stand for,mco đại diện cho cái gì,O O O B-airport_code O O,atis_abbreviation
3418,what flights are available between baltimore and boston on august twelfth,những chuyến bay nào có sẵn giữa Baltimore và boston vào ngày 12 tháng 8,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
3419,what airline is as,hãng hàng không như thế nào,O O O O B-airline_code,atis_airline
3420,ground transportation minneapolis,giao thông mặt đất minneapolis,O O O B-city_name,atis_ground_service
3421,what flights depart baltimore and arrive by 8 pm friday in san francisco,những chuyến bay nào khởi hành từ Baltimore và đến trước 8 giờ tối thứ sáu ở San francisco,O O O O B-fromloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.day_name O B-toloc.city_name I-toloc.city_name,atis_flight
3422,show me a list of flights from denver to baltimore on united for august third,cho tôi xem danh sách các chuyến bay từ Denver đến Baltimore vào ngày 3 tháng 8,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
3423,list all flights from indianapolis to seattle,liệt kê tất cả các chuyến bay từ indianapolis đến Seattle,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3424,tell me about flights from st. petersburg arriving in toronto before noon,cho tôi biết về các chuyến bay từ st. petersburg đến Toronto trước buổi trưa,O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time,atis_flight
3425,list all flights from long beach to columbus late saturday,liệt kê tất cả các chuyến bay từ bãi biển dài đến Columbus vào cuối thứ bảy,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod B-depart_date.day_name,atis_flight
3426,is there a flight on twa from baltimore to san francisco with a stop in denver,có chuyến bay nào trên twa từ baltimore đến san francisco với điểm dừng ở denver không,O O O O O O B-airline_code O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_flight
3427,i'd like to know the earliest flight from boston to atlanta,tôi muốn biết chuyến bay sớm nhất từ ​​boston đến atlanta,O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3428,i want the list of daily flights from milwaukee to st. louis,tôi muốn danh sách các chuyến bay hàng ngày từ Milwaukee đến st. louis,O O O O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
3429,i would like a nonstop flight from jfk to las vegas on march second,tôi muốn một chuyến bay thẳng từ jfk đến las vegas vào ngày thứ hai tháng ba,O O O O O B-flight_stop O O B-fromloc.airport_code O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number,atis_flight
3430,what are the cheapest one way flights from atlanta to pittsburgh,các chuyến bay một chiều rẻ nhất từ ​​atlanta đến pittsburgh là gì,O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3431,can you list all flights from chicago to st. louis that depart after 12 noon,bạn có thể liệt kê tất cả các chuyến bay từ Chicago đến st. louis khởi hành sau 12 giờ trưa,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
3432,how far is oakland airport from downtown,sân bay Oakland cách trung tâm thành phố bao xa,O O O O B-fromloc.airport_name I-fromloc.airport_name O O,atis_distance
3433,what flights are available tomorrow from denver to philadelphia,những chuyến bay nào có sẵn vào ngày mai từ denver đến philadelphia,O O O O O B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name,atis_flight
3434,flights from milwaukee to phoenix on saturday or sunday american airlines,các chuyến bay từ Milwaukee đến Phoenix vào thứ bảy hoặc chủ nhật các hãng hàng không của Mỹ,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-or B-depart_date.day_name B-airline_name I-airline_name,atis_flight
3435,i need a flight from philadelphia to dallas next wednesday in the morning,tôi cần một chuyến bay từ philad Philadelphia đến dallas vào sáng thứ tư tới,O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-depart_time.period_of_day,atis_flight
3436,phoenix to newark on wednesday,phượng hoàng đến newark vào thứ tư,O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
3437,i'd like flights going from boston to atlanta leaving on august sixth in the afternoon,tôi muốn các chuyến bay đi từ boston đến atlanta khởi hành vào ngày 6 tháng 8 vào buổi chiều,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number O O B-depart_time.period_of_day,atis_flight
3438,show me flights to san francisco arriving before 1,chỉ cho tôi các chuyến bay đến san francisco đến trước ngày 1,O O O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time,atis_flight
3439,i want to fly from philadelphia to dallas with a stop in atlanta on a breakfast flight,tôi muốn bay từ Philadelphia đến dallas với điểm dừng ở atlanta trên chuyến bay ăn sáng,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O B-meal_description O,atis_flight
3440,i would like some information on the earliest flights you have leaving atlanta arriving in denver,tôi muốn biết một số thông tin về các chuyến bay sớm nhất mà bạn khởi hành từ atlanta đến Denver,O O O O O O O O B-flight_mod O O O O B-fromloc.city_name O O B-toloc.city_name,atis_flight
3441,which airlines provide direct flights between washington and denver,hãng hàng không nào cung cấp các chuyến bay trực tiếp giữa washington và denver,O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name,atis_airline
3442,i'd like to see all flights from pittsburgh to philadelphia again,tôi muốn xem lại tất cả các chuyến bay từ pittsburgh đến philadelphia,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
3443,what flights go from san francisco to washington via indianapolis,những chuyến bay nào đi từ San francisco đến washington qua indianapolis,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name,atis_flight
3444,what's the latest flight i can get from dallas to boston,chuyến bay muộn nhất tôi có thể đi từ dallas đến boston là gì,O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3445,what airlines are ac and as,hãng hàng không nào là ac và như,O O O O B-airline_code O B-airline_code,atis_airline
3446,what are the first class and coach fares for flights from chicago to kansas city arriving around 7 pm next thursday,giá vé hạng nhất và xe khách là bao nhiêu cho các chuyến bay từ Chicago đến thành phố kansas đến vào khoảng 7 giờ tối thứ năm tới,O O O O B-class_type I-class_type O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name,atis_airfare
3447,does us air fly from dc to dallas,có đường hàng không của chúng tôi bay từ dc đến dallas không,O O B-airline_name I-airline_name O O B-fromloc.state_code O B-toloc.city_name,atis_flight
3448,now i'd like to see flights from detroit to st. petersburg on the next tuesday,bây giờ tôi muốn xem các chuyến bay từ detroit đến st. petersburg vào thứ ba tiếp theo,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.date_relative B-depart_date.day_name,atis_flight
3449,what is the earliest flight departing san francisco and arriving in oakland on november eighth,chuyến bay sớm nhất khởi hành từ san francisco và đến Oakland vào ngày 8 tháng 11 là gì,O O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number,atis_flight
3450,what is the round trip cost of a first class ticket from boston to san francisco,chi phí khứ hồi của vé hạng nhất từ ​​boston đến san francisco là bao nhiêu,O O O O B-round_trip I-round_trip O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
3451,i would like a flight from san francisco to pittsburgh on friday morning after 10 o'clock,tôi muốn một chuyến bay từ san francisco đến pittsburgh vào sáng thứ sáu sau 10 giờ,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
3452,show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon,cho tôi xem tất cả các chuyến bay của chúng tôi rời pittsburgh từ 12 đến 4 giờ chiều,O O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time O O B-depart_time.period_of_day,atis_flight
3453,please list the afternoon flights from charlotte to minneapolis,vui lòng liệt kê các chuyến bay chiều từ charlotte đến minneapolis,O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3454,what are the flights from charlotte to atlanta returning on tuesday july thirteenth,các chuyến bay từ charlotte đến atlanta trở về vào thứ ba ngày 13 tháng bảy là gì,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number,atis_flight
3455,list all flights from burbank to denver,liệt kê tất cả các chuyến bay từ Burbank đến Denver,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3456,do you have any flights united airlines from dallas to san francisco,bạn có chuyến bay nào của hãng hàng không thống nhất từ ​​dallas đến san francisco không,O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
3457,what are the fares between new york and la on monday morning,giá vé giữa New York và La vào sáng thứ hai là bao nhiêu,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day,atis_airfare
3458,show me the flights from pittsburgh to baltimore,chỉ cho tôi các chuyến bay từ pittsburgh đến Baltimore,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3459,what northwest flights leave denver before noon,chuyến bay nào về phía tây bắc rời denver trước buổi trưa,O O B-airline_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time,atis_flight
3460,show me flights from new york to miami,chỉ cho tôi các chuyến bay từ New York đến miami,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
3461,what is the earliest flight you have that leaves philadelphia to dallas,chuyến bay sớm nhất mà bạn có chuyến bay rời philad Philadelphia đến dallas là gì,O O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3462,list all flights on continental leaving denver on monday,liệt kê tất cả các chuyến bay trên lục địa rời denver vào thứ hai,O O O O O B-airline_name O B-fromloc.city_name O B-depart_date.day_name,atis_flight
3463,show me flights from dallas to atlanta on tuesday,chỉ cho tôi các chuyến bay từ dallas đến atlanta vào thứ ba,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
3464,what is the least expensive flight from denver to atlanta,chuyến bay nào rẻ nhất từ ​​Denver đến Atlanta,O O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3465,i'd like to know the latest flight from atlanta to boston,tôi muốn biết chuyến bay mới nhất từ ​​atlanta đến boston,O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3466,find any flight from boston to oakland stopping in denver,tìm bất kỳ chuyến bay nào từ boston đến Oakland dừng ở Denver,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-stoploc.city_name,atis_flight
3467,i'd like a flight from baltimore to boston as early in the morning as i can,tôi muốn một chuyến bay từ baltimore đến boston vào sáng sớm nhất có thể,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_mod O O B-depart_time.period_of_day O O O,atis_flight
3468,i would like to fly from denver to boston,tôi muốn bay từ denver đến boston,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3469,i would like a flight on continental airlines leaving from boston making a stop in denver and arriving in san francisco,"tôi muốn một chuyến bay của các hãng hàng không lục địa khởi hành từ boston, dừng lại ở denver và đến san francisco",O O O O O O O B-airline_name I-airline_name O O B-fromloc.city_name O O O O B-stoploc.city_name O O O B-toloc.city_name I-toloc.city_name,atis_flight
3470,show me a list of flights from denver to san francisco for september first 1991,cho tôi xem danh sách các chuyến bay từ denver đến san francisco vào tháng 9 năm 1991 đầu tiên,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-depart_date.year,atis_flight
3471,list flights from san jose to houston next sunday,liệt kê các chuyến bay từ san jose đến houston chủ nhật tới,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
3472,what flights are available from dallas fort worth to atlanta,có những chuyến bay nào từ pháo đài dallas đến atlanta,O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
3473,what is restriction ap57,hạn chế ap57 là gì,O O O O B-restriction_code,atis_restriction
3474,what about a flight from boston to san francisco stopping in denver,còn chuyến bay từ boston đến san francisco dừng ở denver thì sao,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name,atis_flight
3475,denver to philadelphia monday,denver đến Philadelphia vào thứ hai,O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name,atis_flight
3476,a one way flight from boston to san francisco please,làm ơn cho tôi một chuyến bay một chiều từ boston đến san francisco,O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
3477,what flights go from boston to orlando,những chuyến bay nào đi từ boston đến orlando,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3478,how many flights does each airline have with first class service,mỗi hãng hàng không có bao nhiêu chuyến bay với dịch vụ hạng nhất,O O O O O O O O O B-class_type I-class_type O,atis_quantity
3479,do you have a 9 o'clock flight from boston to philadelphia,bạn có chuyến bay 9 giờ từ boston đến philadelphia,O O O O O B-depart_time.time I-depart_time.time O O B-fromloc.city_name O B-toloc.city_name,atis_flight
3480,what's the capacity of a 733,công suất của 733 là bao nhiêu,O O O O O O B-aircraft_code,atis_capacity
3481,what delta flights from cincinnati to new york city arrive at new york city before 6 pm on saturday,các chuyến bay delta nào từ cincinnati đến thành phố new york đến thành phố new york trước 6 giờ chiều ngày thứ bảy,O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name,atis_flight
3482,list flights from philadelphia to san francisco thursday,liệt kê các chuyến bay từ Philadelphia đến san francisco thứ năm,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name,atis_flight
3483,find me the latest return flight from atlanta to boston on the same day,tìm cho tôi chuyến bay trở về muộn nhất từ ​​atlanta đến boston vào cùng ngày,O O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name O O O B-return_date.date_relative,atis_flight
3484,i want to fly from milwaukee to orlando on wednesday evening,tôi muốn bay từ milwaukee đến orlando vào tối thứ tư,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day,atis_flight
3485,show me all first class fares from new york to miami leaving on a tuesday,cho tôi xem tất cả giá vé hạng nhất từ ​​New York đến miami khởi hành vào thứ ba,O O O O B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name,atis_airfare
