,En,VN,IOB,Intent
12,in the next two days i want to fly from nashville to san jose or to tacoma,trong hai ngày tới tôi muốn bay từ nashville đến san jose hoặc tacoma,O O O B-depart_date.date_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or O B-toloc.city_name,atis_flight
13,does continental airlines fly from denver to san francisco,các hãng hàng không lục địa có bay từ denver đến san francisco không,O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
14,chicago to milwaukee,chi Chicago đến milwaukee,O B-fromloc.city_name O B-toloc.city_name,atis_flight
15,how many flights does twa have in business class,twa có bao nhiêu chuyến bay trong hạng thương gia,O O O O O B-airline_code O O B-class_type I-class_type,atis_quantity
16,show me the flights from dallas to baltimore in first class,chỉ cho tôi các chuyến bay từ dallas đến Baltimore ở hạng nhất,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type,atis_flight
17,i'd like to find the least expensive one way fare from boston to philadelphia,tôi muốn tìm giá vé một chiều rẻ nhất từ ​​boston đến philadelphia,O O O O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
18,how many booking classes are there,có bao nhiêu lớp đặt chỗ,O O O O O O O,atis_quantity
19,what are the flights from tacoma to san jose on wednesday the nineteenth,các chuyến bay từ tacoma đến san jose vào thứ tư ngày mười chín là gì,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number,atis_flight
20,what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco,những chuyến bay nào rời pittsburgh vào ngày 5 tháng 7 sau 7 giờ tối và đến san francisco,O O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O B-toloc.city_name I-toloc.city_name,atis_flight
21,please list all the arriving and departing flights from general mitchell international,vui lòng liệt kê tất cả các chuyến bay đến và đi từ mitchell quốc tế chung,O O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name,atis_flight
22,what time zone is denver in,denver ở múi giờ nào,O O O O O B-city_name O,atis_city
23,show me ground transportation in boston and in baltimore,chỉ cho tôi phương tiện giao thông mặt đất ở boston và ở baltimore,O O O O O O B-city_name O O B-city_name,atis_ground_service
24,i want to find the first flight from baltimore to boston that serves a meal,tôi muốn tìm chuyến bay đầu tiên từ baltimore đến boston có phục vụ bữa ăn,O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal,atis_flight
25,from seattle to salt lake city,từ Seattle đến thành phố hồ muối,O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_flight
26,can you show me the flights from dallas to baltimore with economy fares,bạn có thể chỉ cho tôi các chuyến bay từ dallas đến Baltimore với giá vé phổ thông được không,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-economy O,atis_flight
27,what flights leave from phoenix,chuyến bay nào khởi hành từ phượng hoàng,O O O O O B-fromloc.city_name,atis_flight
28,what are the flights from pittsburgh to denver,các chuyến bay từ pittsburgh đến denver là gì,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
29,show flights leaving miami to cleveland on us air that leave after noon,hiển thị các chuyến bay rời miami để đến với chúng tôi bằng máy bay khởi hành sau buổi trưa,O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time,atis_flight
30,please give me a list of all the flights between dallas and baltimore and their cost,làm ơn cho tôi danh sách tất cả các chuyến bay giữa dallas và Baltimore và chi phí của chúng,O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O atis_flight #,atis_airfare
31,what does fare code y mean,mã giá vé y có nghĩa là gì,O O O O O B-fare_basis_code O,atis_abbreviation
32,ground transportation in phoenix,giao thông mặt đất ở phượng hoàng,O O O O B-city_name,atis_ground_service
33,okay could you tell me what flight leaves dallas to san francisco by united airline,được rồi bạn có thể cho tôi biết chuyến bay nào rời dallas đến san francisco của hãng hàng không thống nhất,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name,atis_flight
34,show me all flights from denver to san francisco next wednesday which leave after noon,cho tôi xem tất cả các chuyến bay từ denver đến san francisco vào thứ tư tiếp theo khởi hành sau buổi trưa,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time,atis_flight
35,is there a flight from atlanta to san francisco that stops over in denver,có chuyến bay nào từ atlanta đến san francisco dừng lại ở denver không,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_flight
36,show departures and arrivals in atlanta for american airlines,hiển thị các chuyến khởi hành và điểm đến tại Atlanta cho các hãng hàng không Mỹ,O O O O O O B-city_name O B-airline_name I-airline_name,atis_flight
37,find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day,tìm cho tôi chuyến bay sớm nhất từ ​​boston đến atlanta và chuyến về muộn nhất từ ​​atlanta đến boston trong cùng ngày,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O,atis_flight
38,i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,tôi muốn bay từ milwaukee đến orlando vào tối thứ tư hoặc sáng thứ năm,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day,atis_flight
39,i want a flight originating in denver going to pittsburgh and atlanta in either order,tôi muốn một chuyến bay xuất phát từ denver đi pittsburgh và atlanta theo một trong hai thứ tự,O O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-toloc.city_name O O O,atis_flight
40,show me the flights from dallas to atlanta,chỉ cho tôi các chuyến bay từ dallas đến atlanta,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
41,what flights are available from denver to san francisco,có những chuyến bay nào từ denver đến san francisco,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
42,what is the cost of a flight from boston to denver,chi phí của một chuyến bay từ Boston đến Denver là bao nhiêu,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
43,show me the earliest flight from san jose to pittsburgh that serves a snack,chỉ cho tôi chuyến bay sớm nhất từ ​​san jose đến pittsburgh có phục vụ đồ ăn nhẹ,O O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal_description,atis_flight
44,could you please give me the round trip fare from denver to atlanta,bạn có thể vui lòng cho tôi giá vé khứ hồi từ denver đến atlanta được không,O O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
45,do you have a flight leaving boston at 645 am going to washington,bạn có chuyến bay nào rời boston lúc 6 giờ 45 sáng để đến washington,O O O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O B-toloc.city_name,atis_flight
46,what are all the flights into atlanta's airport,tất cả các chuyến bay đến sân bay của atlanta là gì,O O O O O O O B-toloc.city_name O,atis_flight
47,show me the flights from atlanta to denver on friday,chỉ cho tôi các chuyến bay từ atlanta đến denver vào thứ sáu,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
48,what does fare code qx mean,mã giá vé qx nghĩa là gì,O O O O O B-fare_basis_code O,atis_abbreviation
49,i would like information on twa flights from washington to philadelphia,tôi muốn biết thông tin về các chuyến bay twa từ washington đến philadelphia,O O O O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name,atis_flight
50,which airlines fly from boston to washington dc but stopover in some other city,hãng hàng không nào bay từ Boston đến washington dc nhưng có điểm dừng chân ở một số thành phố khác,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O,atis_airline
51,ground transportation in oakland,vận chuyển mặt đất ở Oakland,O O O O B-city_name,atis_ground_service
52,list all afternoon flights on united airlines from san francisco to denver,liệt kê tất cả các chuyến bay buổi chiều trên các hãng hàng không thống nhất từ ​​san francisco đến denver,O O O B-depart_time.period_of_day O O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
53,show me all flights from san francisco to pittsburgh on a monday,chỉ cho tôi tất cả các chuyến bay từ san francisco đến pittsburgh vào thứ hai,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name,atis_flight
54,what is the latest flight leaving boston to denver,chuyến bay muộn nhất rời boston đến denver là gì,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
55,okay i would like to know the type of aircraft used on a flight from cleveland to dallas please,"được rồi, tôi muốn biết loại máy bay được sử dụng trên chuyến bay từ cleveland đến dallas",O O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_aircraft
56,please show me the flights from las vegas to detroit on the twenty eighth,làm ơn chỉ cho tôi các chuyến bay từ las vegas đến detroit vào ngày 28,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number,atis_flight
57,what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma,những hãng hàng không bay từ st. petersburg đến milwaukee và từ milwaukee đến tacoma,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name,atis_airline
58,i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia,tôi muốn đi một chuyến bay bắt đầu từ boston và hạ cánh tại pháo đài dallas nhưng tôi muốn dừng lại ở philad Philadelphia,O O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O B-stoploc.city_name,atis_flight
59,give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,cho tôi chuyến bay sớm nhất vào ngày mai trên các hãng hàng không thống nhất từ ​​st. petersburg đến milwaukee,O O O O B-flight_mod O B-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
60,american airlines from denver to milwaukee,các hãng hàng không của Mỹ từ Denver đến Milwaukee,O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name,atis_flight
61,what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington,chuyến bay nào khả dụng vào lúc trưa từ boston đến washington chuyến bay nào có sẵn vào giờ trưa từ boston đến washington,O O O O O O B-depart_time.time O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.time_relative B-depart_time.time O B-fromloc.city_name O B-toloc.city_name,atis_flight
62,i need a return flight from philadelphia to boston,tôi cần một chuyến bay trở lại từ philad Philadelphia đến boston,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
63,northwest flights with stops in denver,các chuyến bay về phía tây bắc với các điểm dừng ở Denver,O B-airline_name O O O O B-stoploc.city_name,atis_flight
64,what is the first class fare from baltimore to dallas,giá vé hạng nhất từ ​​Baltimore đến dallas là bao nhiêu,O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
65,could you please tell me the airlines that fly from toronto to san diego,bạn có thể vui lòng cho tôi biết các hãng hàng không bay từ Toronto đến san diego được không,O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airline
66,what is the earliest flight from memphis to cincinnati on june thirtieth,chuyến bay sớm nhất từ ​​memphis đến cincinnati vào ngày ba mươi tháng sáu là gì,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
67,show me the nonstop flights from dallas to houston,chỉ cho tôi các chuyến bay thẳng từ dallas đến houston,O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name,atis_flight
68,show me economy fares from dallas to baltimore,cho tôi xem giá vé nền kinh tế từ dallas đến Baltimore,O O O B-economy O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
69,i would like a flight on continental airlines on august twentieth from washington to pittsburgh,tôi muốn một chuyến bay của các hãng hàng không lục địa vào ngày 20 tháng 8 từ washington đến pittsburgh,O O O O O O O B-airline_name I-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name,atis_flight
70,do you have a flight on wednesday from denver to washington dc nonstop,bạn có chuyến bay nào vào thứ tư từ denver đến washington dc không,O O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-flight_stop,atis_flight
71,what is ewr,ewr là gì,O O O B-airport_code,atis_abbreviation
72,i want to fly boston to san francisco,tôi muốn bay từ boston đến san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
73,what flight leaves dallas for atlanta on august twenty seventh in the evening,chuyến bay nào rời dallas đi atlanta vào tối ngày 27 tháng 8,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day,atis_flight
74,wednesday morning flights between baltimore and newark,các chuyến bay buổi sáng thứ tư giữa Baltimore và Newark,O B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name,atis_flight
75,show me flights from dallas to pittsburgh,chỉ cho tôi các chuyến bay từ dallas đến pittsburgh,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
76,what flights are there arriving in chicago on continental after 11 pm,Có những chuyến bay nào đến Chicago trên lục địa sau 11 giờ đêm,O O O O O O O B-toloc.city_name O B-airline_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
77,what is the lowest cost fare that delta has between boston and san francisco,giá vé rẻ nhất mà delta có giữa boston và san francisco là bao nhiêu,O O O O B-cost_relative I-cost_relative O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
78,i'd like to go from boston to san francisco,tôi muốn đi từ boston đến san francisco,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
79,round trip air fares from pittsburgh to philadelphia less than 1000 dollars,giá vé máy bay khứ hồi từ pittsburgh đến philadelphia dưới 1000 đô la,O B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount,atis_airfare
80,does any airline have a jet flight between pittsburgh and baltimore,có hãng hàng không nào có chuyến bay phản lực giữa pittsburgh và baltimore không,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airline
81,what is mco,mco là gì,O O O B-airport_code,atis_abbreviation
82,show me the flights from newark new jersey to ontario international next saturday,chỉ cho tôi các chuyến bay từ newark new jersey đến ontario international vào thứ bảy tới,O O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
83,i want to fly from dallas fort worth to philadelphia,tôi muốn bay từ pháo đài dallas đến philadelphia,O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
84,show me flights between new york city and las vegas,chỉ cho tôi các chuyến bay giữa thành phố new york và las vegas,O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
85,how long does it take to get from atlanta airport into the city of atlanta,mất bao lâu để đi từ sân bay atlanta đến thành phố atlanta,O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O B-toloc.city_name,atis_distance
86,show me all first class prices from dallas to baltimore,cho tôi xem tất cả các mức giá hạng nhất từ ​​dallas đến Baltimore,O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
87,is there a flight between san francisco and boston with a stopover in dallas fort worth,có chuyến bay nào giữa san francisco và boston với điểm dừng ở pháo đài dallas không,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name,atis_flight
88,show me ground transportation information for san francisco,cho tôi xem thông tin giao thông mặt đất cho san francisco,O O O O O O O B-city_name I-city_name,atis_ground_service
89,need an inexpensive flight from baltimore to san francisco,cần một chuyến bay rẻ từ baltimore đến san francisco,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
90,find the earliest flight from boston to oakland that serves breakfast,tìm chuyến bay sớm nhất từ ​​boston đến Oakland có phục vụ bữa sáng,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description,atis_flight
91,i'd like to fly from philadelphia to dallas to san francisco,tôi muốn bay từ Philadelphia đến dallas để đến san francisco,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
92,show me all the direct flights from atlanta to baltimore,chỉ cho tôi tất cả các chuyến bay trực tiếp từ Atlanta đến Baltimore,O O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name,atis_flight
93,latest flight from houston to san jose,chuyến bay muộn nhất từ ​​houston đến san jose,O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
94,what're the flights from new york city to las vegas that arrive on a sunday,các chuyến bay từ thành phố new york đến las vegas đến vào chủ nhật là gì,O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name,atis_flight
95,i would like to fly united airlines from washington dc to denver colorado,tôi muốn bay các hãng hàng không thống nhất từ ​​washington dc đến denver colorado,O O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name,atis_flight
96,okay i need to see economy flights on united between dallas and baltimore,được rồi tôi cần xem các chuyến bay hạng phổ thông trên hiệp hội giữa dallas và Baltimore,O O O O O O B-economy O O B-airline_name O B-fromloc.city_name O B-toloc.city_name,atis_flight
97,please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,vui lòng chỉ cho tôi các chuyến bay từ pittsburgh đến atlanta vào buổi sáng thứ tư phục vụ bữa sáng,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-meal_description,atis_flight
98,i need information for flights leaving baltimore and arriving in atlanta,tôi cần thông tin về các chuyến bay rời Baltimore và đến atlanta,O O O O O O O B-fromloc.city_name O O O B-toloc.city_name,atis_flight
99,show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow,cho tôi xem tất cả các chuyến bay từ san francisco đến pittsburgh sẽ đến pittsburgh trước 9 giờ sáng mai,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative,atis_flight
100,show me the fares from dallas to san francisco,cho tôi xem giá vé từ dallas đến san francisco,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
101,please give me flights available from baltimore to philadelphia,làm ơn cho tôi các chuyến bay có sẵn từ baltimore đến philadelphia,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
102,what are the flights on january first 1992 from boston to san francisco,các chuyến bay vào ngày 1 tháng 1 năm 1992 từ boston đến san francisco là gì,O O O O O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
103,flights from denver to baltimore between 10 am and 2 pm,các chuyến bay từ denver đến Baltimore từ 10 giờ sáng đến 2 giờ chiều,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
104,what ground transportation is there in atlanta,có phương tiện giao thông mặt đất nào ở atlanta,O O O O O O O B-city_name,atis_ground_service
105,list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm,liệt kê các chuyến bay thẳng từ Baltimore washington đến Oakland đến từ 4h45 đến 5h15 chiều,O O B-flight_stop O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
106,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,hiển thị các chuyến bay từ baltimore đến san francisco từ 6 giờ chiều đến 8 giờ tối vào thứ sáu,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name,atis_flight
107,i want to fly from denver to san francisco,tôi muốn bay từ Đan Mạch đến san francisco,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
108,coach fares only weekdays for denver to boston,xe khách chỉ có giá vé các ngày trong tuần từ Denver đến boston,O B-class_type O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name,atis_airfare
109,what are the coach fares for flights from newark to la leaving after 3 pm,giá vé xe khách cho các chuyến bay từ newark đến la khởi hành sau 3 giờ chiều là bao nhiêu,O O O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_airfare
110,from philadelphia to toronto,từ Philadelphia đến to Toronto,O O B-fromloc.city_name O B-toloc.city_name,atis_flight
111,i would like a nonstop flight from philadelphia to pittsburgh,tôi muốn có một chuyến bay thẳng từ philadelphia đến pittsburgh,O O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name,atis_flight
112,what are my choices of flights leaving early afternoon from minneapolis to indianapolis,lựa chọn của tôi về chuyến bay khởi hành đầu giờ chiều từ minneapolis đến indianapolis là gì,O O O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name,atis_flight
113,what is the cheapest flight flying from boston to atlanta before 8,chuyến bay nào rẻ nhất bay từ Boston đến Atlanta trước ngày 8,O O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time,atis_flight
114,list possible round trip daily flights between boston and oakland,liệt kê các chuyến bay khứ hồi hàng ngày có thể có giữa boston và Oakland,O O O B-round_trip I-round_trip B-flight_days O O B-fromloc.city_name O B-toloc.city_name,atis_flight
115,please give me round trip fares from baltimore to philadelphia,làm ơn cho tôi giá vé khứ hồi từ baltimore đến philadelphia,O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
116,find a flight from long beach to st. louis stopping in dallas,tìm một chuyến bay từ bãi biển dài đến st. louis dừng ở dallas,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name,atis_flight
117,please list the flights from st. paul to kansas city on friday night that serve meals,xin vui lòng liệt kê các chuyến bay từ st. paul đến thành phố kansas vào đêm thứ sáu phục vụ bữa ăn,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O B-meal,atis_flight
118,what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth,giá vé máy bay chi phí thấp nhất hiện có cho chuyến bay từ dallas đến Baltimore đến vào ngày 4 tháng 7,O O O B-cost_relative I-cost_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number,atis_airfare
119,can you show me the flights from baltimore to dallas,bạn có thể chỉ cho tôi các chuyến bay từ Baltimore đến dallas không,O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
120,i need flight information on saturday for a flight from philadelphia to dallas,tôi cần thông tin chuyến bay vào ngày thứ bảy để có chuyến bay từ Philadelphia đến dallas,O O O O O O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
121,show me the flights from denver that go to pittsburgh and then atlanta,chỉ cho tôi các chuyến bay từ denver đi đến pittsburgh và sau đó là atlanta,O O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-toloc.city_name,atis_flight
122,what is the earliest flight you have leaving boston heading to philadelphia,chuyến bay sớm nhất mà bạn có để rời boston hướng đến philad Philadelphia là gì,O O O O B-flight_mod O O O O B-fromloc.city_name O O B-toloc.city_name,atis_flight
